Numer of labeled samples:39105   AUC:0.850
Numer of labeled samples:39070   AUC:0.838
Numer of labeled samples:39240   AUC:0.847
Numer of labeled samples:39193   AUC:0.847
Numer of labeled samples:39081   AUC:0.844
Numer of labeled samples:39118   AUC:0.849
Numer of labeled samples:39198   AUC:0.852
Numer of labeled samples:39249   AUC:0.852
Numer of labeled samples:39226   AUC:0.844
Numer of labeled samples:39225   AUC:0.854
Numer of labeled samples:39209   AUC:0.847
Numer of labeled samples:39234   AUC:0.848
Numer of labeled samples:39274   AUC:0.850
Numer of labeled samples:39299   AUC:0.846
Numer of labeled samples:39262   AUC:0.840
Numer of labeled samples:39214   AUC:0.848
Numer of labeled samples:39240   AUC:0.841
Numer of labeled samples:39275   AUC:0.849
Numer of labeled samples:39242   AUC:0.841
Numer of labeled samples:39274   AUC:0.850
Numer of labeled samples:39274   AUC:0.850
Numer of labeled samples:39209   AUC:0.843
Numer of labeled samples:39330   AUC:0.851
Numer of labeled samples:39298   AUC:0.852
Numer of labeled samples:39277   AUC:0.846
Numer of labeled samples:39383   AUC:0.852
Numer of labeled samples:39277   AUC:0.838
Numer of labeled samples:39266   AUC:0.842
Numer of labeled samples:39324   AUC:0.845
Numer of labeled samples:39368   AUC:0.843
Numer of labeled samples:39304   AUC:0.853
Numer of labeled samples:39379   AUC:0.844
Numer of labeled samples:39356   AUC:0.848
Numer of labeled samples:39383   AUC:0.846
Numer of labeled samples:39303   AUC:0.838
Numer of labeled samples:39381   AUC:0.844
Numer of labeled samples:39384   AUC:0.850
Numer of labeled samples:39374   AUC:0.855
Numer of labeled samples:39350   AUC:0.845
Numer of labeled samples:39391   AUC:0.849
Numer of labeled samples:39362   AUC:0.852
Numer of labeled samples:39462   AUC:0.846
Numer of labeled samples:39371   AUC:0.848
Numer of labeled samples:39472   AUC:0.854
Numer of labeled samples:39397   AUC:0.845
Numer of labeled samples:39395   AUC:0.850
Numer of labeled samples:39364   AUC:0.849
Numer of labeled samples:39533   AUC:0.853
Numer of labeled samples:39490   AUC:0.842
Numer of labeled samples:39480   AUC:0.847
Numer of labeled samples:39419   AUC:0.843
Numer of labeled samples:39580   AUC:0.851
Numer of labeled samples:39464   AUC:0.845
Numer of labeled samples:39490   AUC:0.852
Numer of labeled samples:39510   AUC:0.846
Numer of labeled samples:39512   AUC:0.846
Numer of labeled samples:39538   AUC:0.840
Numer of labeled samples:39433   AUC:0.850
Numer of labeled samples:39488   AUC:0.851
Numer of labeled samples:39594   AUC:0.850
Numer of labeled samples:39571   AUC:0.851
Numer of labeled samples:39570   AUC:0.846
Numer of labeled samples:39553   AUC:0.851
Numer of labeled samples:39619   AUC:0.844
Numer of labeled samples:39563   AUC:0.842
Numer of labeled samples:39532   AUC:0.847
Numer of labeled samples:39657   AUC:0.844
Numer of labeled samples:39576   AUC:0.848
Numer of labeled samples:39513   AUC:0.848
Numer of labeled samples:39656   AUC:0.848
Numer of labeled samples:39576   AUC:0.846
Numer of labeled samples:39651   AUC:0.850
Numer of labeled samples:39650   AUC:0.846
Numer of labeled samples:39662   AUC:0.853
Numer of labeled samples:39621   AUC:0.836
Numer of labeled samples:39687   AUC:0.846
Numer of labeled samples:39629   AUC:0.846
Numer of labeled samples:39673   AUC:0.854
Numer of labeled samples:39580   AUC:0.848
Numer of labeled samples:39672   AUC:0.848
Numer of labeled samples:39627   AUC:0.844
Numer of labeled samples:39524   AUC:0.849
Numer of labeled samples:39575   AUC:0.843
Numer of labeled samples:39703   AUC:0.841
Numer of labeled samples:39641   AUC:0.848
Numer of labeled samples:39707   AUC:0.847
Numer of labeled samples:39615   AUC:0.848
Numer of labeled samples:39640   AUC:0.850
Numer of labeled samples:39656   AUC:0.845
Numer of labeled samples:39741   AUC:0.854
Numer of labeled samples:39633   AUC:0.850
Numer of labeled samples:39700   AUC:0.842
Numer of labeled samples:39712   AUC:0.846
Numer of labeled samples:39693   AUC:0.855
Numer of labeled samples:39719   AUC:0.844
Numer of labeled samples:39677   AUC:0.848
Numer of labeled samples:39638   AUC:0.843
Numer of labeled samples:39742   AUC:0.842
Numer of labeled samples:39654   AUC:0.844
Numer of labeled samples:39701   AUC:0.853
Numer of labeled samples:39667   AUC:0.844
Numer of labeled samples:39706   AUC:0.849
Numer of labeled samples:39619   AUC:0.846
Numer of labeled samples:39591   AUC:0.846
Numer of labeled samples:39718   AUC:0.846
Numer of labeled samples:39780   AUC:0.849
Numer of labeled samples:39711   AUC:0.850
Numer of labeled samples:39717   AUC:0.847
Numer of labeled samples:39681   AUC:0.836
Numer of labeled samples:39780   AUC:0.845
Numer of labeled samples:39682   AUC:0.837
Numer of labeled samples:39808   AUC:0.846
Numer of labeled samples:39686   AUC:0.844
Numer of labeled samples:39825   AUC:0.849
Numer of labeled samples:39763   AUC:0.840
Numer of labeled samples:39748   AUC:0.849
Numer of labeled samples:39780   AUC:0.840
Numer of labeled samples:39802   AUC:0.844
Numer of labeled samples:39818   AUC:0.843
Numer of labeled samples:39813   AUC:0.852
Numer of labeled samples:39758   AUC:0.845
Numer of labeled samples:39823   AUC:0.856
Numer of labeled samples:39800   AUC:0.852
Numer of labeled samples:39771   AUC:0.845
Numer of labeled samples:39795   AUC:0.852
Numer of labeled samples:39809   AUC:0.848
Numer of labeled samples:39767   AUC:0.839
Numer of labeled samples:39844   AUC:0.847
Numer of labeled samples:39870   AUC:0.836
Numer of labeled samples:39771   AUC:0.842
Numer of labeled samples:39749   AUC:0.842
Numer of labeled samples:39777   AUC:0.842
Numer of labeled samples:39803   AUC:0.843
Numer of labeled samples:39821   AUC:0.842
Numer of labeled samples:39791   AUC:0.843
Numer of labeled samples:39783   AUC:0.844
Numer of labeled samples:39846   AUC:0.839
Numer of labeled samples:39790   AUC:0.840
Numer of labeled samples:39767   AUC:0.844
Numer of labeled samples:39928   AUC:0.849
Numer of labeled samples:39844   AUC:0.838
Numer of labeled samples:39828   AUC:0.845
Numer of labeled samples:39794   AUC:0.846
Numer of labeled samples:39811   AUC:0.847
Numer of labeled samples:39839   AUC:0.844
Numer of labeled samples:39789   AUC:0.830
Numer of labeled samples:39895   AUC:0.845
Numer of labeled samples:39865   AUC:0.846
Numer of labeled samples:39847   AUC:0.849
Numer of labeled samples:39980   AUC:0.843
Numer of labeled samples:39881   AUC:0.843
Numer of labeled samples:39925   AUC:0.847
Numer of labeled samples:39857   AUC:0.854
Numer of labeled samples:39908   AUC:0.849
Numer of labeled samples:39883   AUC:0.844
Numer of labeled samples:39941   AUC:0.844
Numer of labeled samples:39811   AUC:0.843
Numer of labeled samples:39926   AUC:0.850
Numer of labeled samples:39946   AUC:0.839
Numer of labeled samples:39956   AUC:0.844
Numer of labeled samples:39872   AUC:0.843
Numer of labeled samples:40021   AUC:0.844
Numer of labeled samples:39899   AUC:0.842
Numer of labeled samples:39941   AUC:0.843
Numer of labeled samples:39916   AUC:0.839
Numer of labeled samples:39986   AUC:0.844
Numer of labeled samples:39898   AUC:0.841
Numer of labeled samples:40033   AUC:0.846
Numer of labeled samples:39867   AUC:0.847
Numer of labeled samples:39961   AUC:0.846
Numer of labeled samples:39966   AUC:0.846
Numer of labeled samples:39886   AUC:0.847
Numer of labeled samples:39940   AUC:0.836
Numer of labeled samples:39916   AUC:0.838
Numer of labeled samples:39957   AUC:0.846
Numer of labeled samples:40011   AUC:0.842
Numer of labeled samples:40026   AUC:0.838
Numer of labeled samples:39895   AUC:0.852
Numer of labeled samples:40039   AUC:0.844
