Numer of labeled samples:38855   AUC:0.855
Numer of labeled samples:38932   AUC:0.850
Numer of labeled samples:38846   AUC:0.848
Numer of labeled samples:38892   AUC:0.842
Numer of labeled samples:38991   AUC:0.850
Numer of labeled samples:38957   AUC:0.854
Numer of labeled samples:38956   AUC:0.853
Numer of labeled samples:38923   AUC:0.850
Numer of labeled samples:38999   AUC:0.853
Numer of labeled samples:38964   AUC:0.846
Numer of labeled samples:39009   AUC:0.855
Numer of labeled samples:38899   AUC:0.847
Numer of labeled samples:39027   AUC:0.845
Numer of labeled samples:38978   AUC:0.849
Numer of labeled samples:38989   AUC:0.847
Numer of labeled samples:38988   AUC:0.854
Numer of labeled samples:39040   AUC:0.853
Numer of labeled samples:38977   AUC:0.847
Numer of labeled samples:39177   AUC:0.847
Numer of labeled samples:38957   AUC:0.851
Numer of labeled samples:39166   AUC:0.850
Numer of labeled samples:39025   AUC:0.852
Numer of labeled samples:39075   AUC:0.855
Numer of labeled samples:39168   AUC:0.849
Numer of labeled samples:39086   AUC:0.848
Numer of labeled samples:39101   AUC:0.852
Numer of labeled samples:39250   AUC:0.848
Numer of labeled samples:39154   AUC:0.851
Numer of labeled samples:39151   AUC:0.853
Numer of labeled samples:39147   AUC:0.842
Numer of labeled samples:39202   AUC:0.856
Numer of labeled samples:39176   AUC:0.851
Numer of labeled samples:39133   AUC:0.853
Numer of labeled samples:39120   AUC:0.846
Numer of labeled samples:39279   AUC:0.852
Numer of labeled samples:39168   AUC:0.843
Numer of labeled samples:39255   AUC:0.851
Numer of labeled samples:39266   AUC:0.848
Numer of labeled samples:39343   AUC:0.851
Numer of labeled samples:39286   AUC:0.849
Numer of labeled samples:39308   AUC:0.848
Numer of labeled samples:39292   AUC:0.854
Numer of labeled samples:39267   AUC:0.853
Numer of labeled samples:39285   AUC:0.846
Numer of labeled samples:39290   AUC:0.853
Numer of labeled samples:39288   AUC:0.851
Numer of labeled samples:39385   AUC:0.848
Numer of labeled samples:39284   AUC:0.848
Numer of labeled samples:39292   AUC:0.848
Numer of labeled samples:39384   AUC:0.851
Numer of labeled samples:39397   AUC:0.847
Numer of labeled samples:39361   AUC:0.849
Numer of labeled samples:39411   AUC:0.843
Numer of labeled samples:39250   AUC:0.849
Numer of labeled samples:39571   AUC:0.848
Numer of labeled samples:39353   AUC:0.848
Numer of labeled samples:39415   AUC:0.849
Numer of labeled samples:39533   AUC:0.852
Numer of labeled samples:39615   AUC:0.855
Numer of labeled samples:39452   AUC:0.855
Numer of labeled samples:39679   AUC:0.851
Numer of labeled samples:39526   AUC:0.846
Numer of labeled samples:39436   AUC:0.847
Numer of labeled samples:39523   AUC:0.851
Numer of labeled samples:39557   AUC:0.849
Numer of labeled samples:39566   AUC:0.852
Numer of labeled samples:39497   AUC:0.844
Numer of labeled samples:39549   AUC:0.855
Numer of labeled samples:39501   AUC:0.848
Numer of labeled samples:39439   AUC:0.853
Numer of labeled samples:39717   AUC:0.847
Numer of labeled samples:39527   AUC:0.846
Numer of labeled samples:39713   AUC:0.856
Numer of labeled samples:39501   AUC:0.844
Numer of labeled samples:39694   AUC:0.855
Numer of labeled samples:39625   AUC:0.849
Numer of labeled samples:39621   AUC:0.848
Numer of labeled samples:39734   AUC:0.849
Numer of labeled samples:39516   AUC:0.849
Numer of labeled samples:39689   AUC:0.842
Numer of labeled samples:39734   AUC:0.845
Numer of labeled samples:39657   AUC:0.846
Numer of labeled samples:39606   AUC:0.851
Numer of labeled samples:39718   AUC:0.855
Numer of labeled samples:39653   AUC:0.853
Numer of labeled samples:39620   AUC:0.851
Numer of labeled samples:39808   AUC:0.848
Numer of labeled samples:39645   AUC:0.849
Numer of labeled samples:39677   AUC:0.851
Numer of labeled samples:39620   AUC:0.851
Numer of labeled samples:39760   AUC:0.849
Numer of labeled samples:39680   AUC:0.852
Numer of labeled samples:39753   AUC:0.847
Numer of labeled samples:39658   AUC:0.853
Numer of labeled samples:39638   AUC:0.849
Numer of labeled samples:39668   AUC:0.849
Numer of labeled samples:39744   AUC:0.850
Numer of labeled samples:39668   AUC:0.850
Numer of labeled samples:39917   AUC:0.848
Numer of labeled samples:39826   AUC:0.841
Numer of labeled samples:39799   AUC:0.852
Numer of labeled samples:39780   AUC:0.847
Numer of labeled samples:39731   AUC:0.846
Numer of labeled samples:39813   AUC:0.850
Numer of labeled samples:39893   AUC:0.851
Numer of labeled samples:39683   AUC:0.849
Numer of labeled samples:39864   AUC:0.846
Numer of labeled samples:39788   AUC:0.854
Numer of labeled samples:39849   AUC:0.846
Numer of labeled samples:39875   AUC:0.850
Numer of labeled samples:39932   AUC:0.847
Numer of labeled samples:39852   AUC:0.843
Numer of labeled samples:39913   AUC:0.847
Numer of labeled samples:39864   AUC:0.852
Numer of labeled samples:39894   AUC:0.847
Numer of labeled samples:39829   AUC:0.845
Numer of labeled samples:39878   AUC:0.852
Numer of labeled samples:39857   AUC:0.845
Numer of labeled samples:39898   AUC:0.848
Numer of labeled samples:39951   AUC:0.847
Numer of labeled samples:40253   AUC:0.849
Numer of labeled samples:39977   AUC:0.853
Numer of labeled samples:39884   AUC:0.853
Numer of labeled samples:40074   AUC:0.853
Numer of labeled samples:40013   AUC:0.851
Numer of labeled samples:40001   AUC:0.846
Numer of labeled samples:40179   AUC:0.841
Numer of labeled samples:39993   AUC:0.851
Numer of labeled samples:39953   AUC:0.852
Numer of labeled samples:40126   AUC:0.853
Numer of labeled samples:40144   AUC:0.848
Numer of labeled samples:40008   AUC:0.852
Numer of labeled samples:40127   AUC:0.844
